,Street Name,From,To,Day of Month,Time
470,neilson,1401.0,1499.0,1st Fri,PM
471,newbury,2900.0,2998.0,3rd Thurs,AM
472,newbury,2901.0,2999.0,3rd Wed,AM
473,nogales,0.0,6.0,3rd Fri,AM
474,nogales,0.0,1.0,3rd Fri,AM
475,north,1500.0,1598.0,2nd Thurs,PM
476,north,1501.0,1599.0,2nd Thurs,PM
477,northside,1300.0,1398.0,1st Fri,PM
478,northside,1301.0,1399.0,1st Fri,PM
479,northside,1401.0,1499.0,1st Fri,PM
480,northside,1400.0,1498.0,2nd Mon,PM
481,north valley,2100.0,2198.0,1st Fri,AM
482,north valley,2101.0,2199.0,1st Fri,AM
483,oak,2300.0,2348.0,3rd Thurs,PM
484,oak,2301.0,2549.0,3rd Wed,PM
485,oak knoll,2701.0,2799.0,4th Mon,AM
486,oak knoll,2800.0,2828.0,4th Wed,AM
487,oakvale,33.0,67.0,4th Tue,AM
488,oakvale,25.0,25.0,3rd Fri,AM
489,ordway,1200.0,1300.0,1st Fri,PM
490,ordway,1201.0,1599.0,2nd Mon,PM
491,ordway,1300.0,1398.0,1st Thurs,PM
492,ordway,1331.0,1499.0,1st Wed,PM
493,oregon,1100.0,1498.0,2nd Tue,AM
494,oregon,1101.0,1499.0,2nd Wed,AM
495,oregon,1500.0,1998.0,1st Tue,AM
496,oregon,1501.0,1999.0,1st Mon,AM
497,oregon,2000.0,2498.0,3rd Tue,AM
498,oregon,2001.0,2499.0,3rd Mon,AM
499,otis,2900.0,2998.0,1st Thurs,AM
500,otis,2901.0,2999.0,1st Wed,AM
501,page,830.0,1000.0,1st Tue,PM
502,page,831.0,1099.0,1st Mon,PM
503,page,1100.0,1199.0,2nd Mon,PM
504,page,1100.0,1198.0,1st Fri,PM
505,park,2724.0,2998.0,2nd Fri,AM
506,park,2725.0,2999.0,2nd Thurs,AM
507,parker,1100.0,1498.0,2nd Tue,AM
508,parker,1101.0,1499.0,2nd Wed,AM
509,parker,1500.0,1998.0,1st Mon,AM
510,parker,1501.0,1999.0,1st Tue,AM
511,parker,2000.0,2198.0,3rd Mon,AM
512,parker,2001.0,2199.0,3rd Tue,AM
513,parker,2200.0,2898.0,4th Fri,AM
514,parker,2201.0,2899.0,4th Thurs,AM
515,parkside,12.0,90.0,3rd Fri,AM
516,parkside,13.0,89.0,4th Tue,AM
517,peralta,601.0,699.0,3rd Fri,PM
518,peralta,601.0,699.0,4th Mon,PM
519,peralta,701.0,799.0,4th Mon,PM
520,peralta,1200.0,1598.0,2nd Mon,PM
521,peralta,1201.0,1301.0,1st Fri,PM
522,piedmont,2300.0,2499.0,4th Wed,PM
